what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.line",1473878597466
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1473878598303
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1473878599007
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1473878600352
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1473878604430
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473878609680
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473878615556
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473878616934
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473878651729
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473878653491
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473878654679
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473878654709
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473878658498
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473878658644
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1473878659146
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1473878659148
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1473878659149
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1473878659151
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1473878659154
