what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1473904723966
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1473904724397
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1473904730140
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1473904731288
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1473904734666
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1473904736750
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1473904737748
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1473904737878
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1473904737900
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.DebugLast",1473904737938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904738171
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904741271
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904741874
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904774304
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1473904774477
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1473904790092
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1473904791663
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1473904792400
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904792635
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904949597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904950153
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904951686
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904952037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904953218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904953613
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904963713
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904964085
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904965072
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1473904979347
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1473904979351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473904990513
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473905061350
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473905062131
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473905068343
