what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1473903340189
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1473903355218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473903356677
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473903358115
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473903364941
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473903365725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473903372331
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473903376729
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1473903408604
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473903412688
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473903413823
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473903414235
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1473903416771
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1473903453496
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1473903457674
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1473903457810
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1473903469495
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1473903472508
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1473903474632
